REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
DISTRICT 24 - TULARE,CA5400558,SAUCELITO ELEMENTARY SCHOOL,NON-TRANSIENT NON-COMMUNITY,98,11,TULARE,TERRA BELLA,93270,1400064,"MCL, SINGLE SAMPLE",NITRATE,13.1 MG/L,10 MG/L,7/1/18,9/30/18,1304408,5/6/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400558,SAUCELITO ELEMENTARY SCHOOL,NON-TRANSIENT NON-COMMUNITY,98,11,TULARE,TERRA BELLA,93270,1400065,"MCL, SINGLE SAMPLE",NITRATE,13.4 MG/L,10 MG/L,10/1/18,12/31/18,1304408,5/6/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400558,SAUCELITO ELEMENTARY SCHOOL,NON-TRANSIENT NON-COMMUNITY,98,11,TULARE,TERRA BELLA,93270,1400066,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.023 UG/L,0.005 UG/L,10/1/18,12/31/18,1304412,8/21/18,CA STATE ACTION ISSUED
DISTRICT 24 - TULARE,CA5400558,SAUCELITO ELEMENTARY SCHOOL,NON-TRANSIENT NON-COMMUNITY,98,11,TULARE,TERRA BELLA,93270,1400067,"MCL, SINGLE SAMPLE",NITRATE,11 MG/L,10 MG/L,1/1/19,3/31/19,1304408,5/6/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400558,SAUCELITO ELEMENTARY SCHOOL,NON-TRANSIENT NON-COMMUNITY,98,11,TULARE,TERRA BELLA,93270,1400068,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.02 UG/L,0.005 UG/L,1/1/19,3/31/19,1304412,8/21/18,CA STATE ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1200021,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,1/1/12,3/31/12,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1200021,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,1/1/12,3/31/12,1003552,9/14/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1200022,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,4/1/12,6/30/12,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1200022,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,4/1/12,6/30/12,1003552,9/14/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1200023,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,7/1/12,9/30/12,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1200023,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,7/1/12,9/30/12,1003552,9/14/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1300024,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,10/1/12,12/31/12,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1300024,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,10/1/12,12/31/12,1003552,9/14/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1300025,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,1/1/13,3/31/13,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1300025,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,1/1/13,3/31/13,1003552,9/14/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1300026,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,4/1/13,6/30/13,1003552,9/14/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1300026,"MCL, SINGLE SAMPLE",NITRATE,60 MG/L,45 MG/L,4/1/13,6/30/13,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1300027,"MCL, SINGLE SAMPLE",NITRATE,69.9 MG/L,45 MG/L,7/1/13,9/30/13,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1300027,"MCL, SINGLE SAMPLE",NITRATE,69.9 MG/L,45 MG/L,7/1/13,9/30/13,1003552,9/14/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1400028,"MCL, SINGLE SAMPLE",NITRATE,69.9 MG/L,45 MG/L,10/1/13,12/31/13,1003552,9/14/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1400028,"MCL, SINGLE SAMPLE",NITRATE,69.9 MG/L,45 MG/L,10/1/13,12/31/13,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1400029,"MCL, SINGLE SAMPLE",NITRATE,65.8 MG/L,45 MG/L,1/1/14,3/31/14,1003552,9/14/10,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,1400029,"MCL, SINGLE SAMPLE",NITRATE,65.8 MG/L,45 MG/L,1/1/14,3/31/14,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800003,"MCL, SINGLE SAMPLE",NITRATE,65.5 MG/L,45 MG/L,7/1/15,9/30/15,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800004,"MCL, SINGLE SAMPLE",NITRATE,13.8 MG/L,10 MG/L,10/1/15,12/31/15,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800005,"MCL, SINGLE SAMPLE",NITRATE,13.4 MG/L,10 MG/L,1/1/16,3/31/16,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800007,"MCL, SINGLE SAMPLE",NITRATE,15.8 MG/L,10 MG/L,4/1/16,6/30/16,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800008,"MCL, SINGLE SAMPLE",NITRATE,15.9 MG/L,10 MG/L,7/1/16,9/30/16,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800009,"MCL, SINGLE SAMPLE",NITRATE,15.8 MG/L,10 MG/L,10/1/16,12/31/16,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800010,"MCL, SINGLE SAMPLE",NITRATE,17.5 MG/L,10 MG/L,1/1/17,3/31/17,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800011,"MCL, SINGLE SAMPLE",NITRATE,17.4 MG/L,10 MG/L,4/1/17,6/30/17,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800012,"MCL, SINGLE SAMPLE",NITRATE,16.9 MG/L,10 MG/L,7/1/17,9/30/17,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800013,"MCL, SINGLE SAMPLE",NITRATE,15.8 MG/L,10 MG/L,1/1/18,3/31/18,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800014,"MCL, SINGLE SAMPLE",NITRATE,16.7 MG/L,10 MG/L,10/1/17,12/31/17,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800015,"MCL, SINGLE SAMPLE",NITRATE,14.9 MG/L,10 MG/L,4/1/18,6/30/18,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800016,"MCL, SINGLE SAMPLE",NITRATE,15.8 MG/L,10 MG/L,10/1/18,12/31/18,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800017,"MCL, SINGLE SAMPLE",NITRATE,17 MG/L,10 MG/L,1/1/19,3/31/19,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400616,LEMON COVE WATER CO,COMMUNITY,109,60,TULARE,LEMON COVE,93244,9800019,"MCL, SINGLE SAMPLE",NITRATE,16.7 MG/L,10 MG/L,4/1/19,6/30/19,1204165,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400636,OROSI HIGH SCHOOL,NON-TRANSIENT NON-COMMUNITY,1200,8,TULARE,OROSI,93647,1400033,"MCL, SINGLE SAMPLE",NITRATE,11 MG/L,10 MG/L,10/1/17,12/31/17,9800447,12/13/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400636,OROSI HIGH SCHOOL,NON-TRANSIENT NON-COMMUNITY,1200,8,TULARE,OROSI,93647,1400035,"MCL, SINGLE SAMPLE",NITRATE,11 MG/L,10 MG/L,4/1/18,6/30/18,9800447,12/13/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400641,TEVISTON CSD,COMMUNITY,343,104,TULARE,PIXLEY,93256,800006,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.035 UG/L,0.005 UG/L,1/1/18,3/31/18,9800396,4/27/18,CA STATE ACTION ISSUED
DISTRICT 24 - TULARE,CA5400641,TEVISTON CSD,COMMUNITY,343,104,TULARE,PIXLEY,93256,800011,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.0194 UG/L,0.005 UG/L,7/1/18,9/30/18,9800396,4/27/18,CA STATE ACTION ISSUED
DISTRICT 24 - TULARE,CA5400641,TEVISTON CSD,COMMUNITY,343,104,TULARE,PIXLEY,93256,800012,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.02 UG/L,0.005 UG/L,10/1/18,12/31/18,9800396,4/27/18,CA STATE ACTION ISSUED
DISTRICT 24 - TULARE,CA5400641,TEVISTON CSD,COMMUNITY,343,104,TULARE,PIXLEY,93256,800013,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE", , ,1/1/19,3/31/19,9800399,4/22/19,CA STATE ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1200039,"MCL, SINGLE SAMPLE",NITRATE,65 MG/L,45 MG/L,1/2/12,3/31/12,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1200039,"MCL, SINGLE SAMPLE",NITRATE,65 MG/L,45 MG/L,1/2/12,3/31/12,1103977,5/24/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1200040,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,4/1/12,6/30/12,1103977,5/24/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1200040,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,4/1/12,6/30/12,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1200041,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,7/1/12,9/30/12,1103977,5/24/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1200041,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,7/1/12,9/30/12,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1300042,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,10/1/12,12/31/12,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1300042,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,10/1/12,12/31/12,1103977,5/24/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1300043,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,1/1/13,3/31/13,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1300043,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,1/1/13,3/31/13,1103977,5/24/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1300044,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,4/1/13,6/30/13,1103977,5/24/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1300044,"MCL, SINGLE SAMPLE",NITRATE,78 MG/L,45 MG/L,4/1/13,6/30/13,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1300045,"MCL, SINGLE SAMPLE",NITRATE,73 MG/L,45 MG/L,7/1/13,9/30/13,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1300045,"MCL, SINGLE SAMPLE",NITRATE,73 MG/L,45 MG/L,7/1/13,9/30/13,1103977,5/24/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400046,"MCL, SINGLE SAMPLE",NITRATE,73 MG/L,45 MG/L,10/1/13,12/31/13,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400046,"MCL, SINGLE SAMPLE",NITRATE,73 MG/L,45 MG/L,10/1/13,12/31/13,1103977,5/24/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400047,"MCL, SINGLE SAMPLE",NITRATE,73 MG/L,45 MG/L,1/1/14,3/31/14,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400047,"MCL, SINGLE SAMPLE",NITRATE,73 MG/L,45 MG/L,1/1/14,3/31/14,1103977,5/24/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400048,"MCL, SINGLE SAMPLE",NITRATE,94 MG/L,45 MG/L,7/1/15,9/30/15,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400049,"MCL, SINGLE SAMPLE",NITRATE,19.4 MG/L,10 MG/L,10/1/15,12/31/15,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400050,"MCL, SINGLE SAMPLE",NITRATE,19.7 MG/L,10 MG/L,1/1/16,3/31/16,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400051,"MCL, SINGLE SAMPLE",NITRATE,19.6 MG/L,10 MG/L,4/1/16,6/30/16,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400052,"MCL, SINGLE SAMPLE",NITRATE,15.6 MG/L,10 MG/L,7/1/16,9/30/16,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400053,"MCL, SINGLE SAMPLE",NITRATE,18.5 MG/L,10 MG/L,10/1/16,12/31/16,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400054,"MCL, SINGLE SAMPLE",NITRATE,16.1 MG/L,10 MG/L,1/1/17,3/31/17,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400056,"MCL, SINGLE SAMPLE",NITRATE,13.7 MG/L,10 MG/L,7/1/17,9/30/17,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400057,"MCL, SINGLE SAMPLE",NITRATE,15.8 MG/L,10 MG/L,4/1/17,6/30/17,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400058,"MCL, SINGLE SAMPLE",NITRATE,13 MG/L,10 MG/L,10/1/17,12/31/17,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400059,"MCL, SINGLE SAMPLE",NITRATE,14.8 MG/L,10 MG/L,1/1/18,3/31/18,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400060,"MCL, SINGLE SAMPLE",NITRATE,17.5 MG/L,10 MG/L,4/1/18,6/30/18,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400061,"MCL, SINGLE SAMPLE",NITRATE,22.9 MG/L,10 MG/L,7/1/18,9/30/18,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400062,"MCL, SINGLE SAMPLE",NITRATE,18 MG/L,10 MG/L,10/1/18,12/31/18,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 24 - TULARE,CA5400651,BEVERLY GRAND MUTUAL WATER,COMMUNITY,92,28,TULARE,PORTERVILLE,93257,1400063,"MCL, SINGLE SAMPLE",NITRATE,12.6 MG/L,10 MG/L,1/1/19,3/31/19,1103978,11/5/15,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,1212057,"MCL,  AVERAGE",COMBINED URANIUM,47.00000000 PCI/L,20 PCI/L,1/1/12,3/31/12,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,1212058,"MCL,  AVERAGE",COMBINED URANIUM,48.00000000 PCI/L,20 PCI/L,4/1/12,6/30/12,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,9900002,"MCL,  AVERAGE",COMBINED URANIUM,48.0 PCI/L,20 PCI/L,7/1/12,9/30/12,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,9900003,"MCL,  AVERAGE",COMBINED URANIUM,44.7 PCI/L,20 PCI/L,10/1/12,12/31/12,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,9900004,"MCL,  AVERAGE",COMBINED URANIUM,42.3 PCI/L,20 PCI/L,1/1/13,3/31/13,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,9900005,"MCL,  AVERAGE",COMBINED URANIUM,41.5 PCI/L,20 PCI/L,4/1/13,6/30/13,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,9900006,"MCL,  AVERAGE",COMBINED URANIUM,47.3 PCI/L,20 PCI/L,7/1/13,9/30/13,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,9900007,"MCL,  AVERAGE",COMBINED URANIUM,54.7 PCI/L, ,10/1/13,12/31/13,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,9900008,"MCL,  AVERAGE",COMBINED URANIUM,48.9 PCI/L,20 PCI/L,1/1/14,3/31/14,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 12 - VISALIA,CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,COMMUNITY,1594,442,TULARE,PORTERVILLE,93257,9900009,"MCL,  AVERAGE",COMBINED URANIUM,47.6 PCI/L,20 PCI/L,4/1/14,6/30/14,1212982,11/18/11,FORMAL ENFORCEMENT ACTION ISSUED
